title,viewCount,likeCount,commentCount,publishedAt
NiziU “We need U 2022”,261724,13611,778,2022-01-01T11:00:18Z
NiziU 「Chopstick」 relay dance,724906,26682,833,2022-01-01T02:11:36Z
NiziU Happy New Year✨,279040,15225,628,2022-01-01T02:00:21Z
NiziU The last day of 2021,157501,14383,271,2021-12-31T10:30:12Z
[NiziU LOG] #11 教えて NINA編,249963,8866,626,2021-12-31T10:00:23Z
NiziU 「Chopstick」 MV Another ver.,2083147,62502,1767,2021-12-31T07:20:18Z
NiziU×Tamagotchi Smart Making Movie,280916,10744,656,2021-12-29T11:00:31Z
NiziU 「Make you happy」 in SUPERSONIC,958358,32748,1363,2021-12-25T02:00:08Z
NiziU 「Merry christmas」 💕,292797,15683,338,2021-12-24T12:00:31Z
[NiziU LOG] #10 教えて MIIHI編,532451,15159,904,2021-12-24T10:00:21Z
NiziU 「Merry Christmas♥」,189784,14449,357,2021-12-20T12:30:15Z
NiziU 1st Album『U』Record Store Visit Behind Scenes,182568,12330,189,2021-12-20T11:00:26Z
「NiziU 1st Anniversary with U」,333145,10437,465,2021-12-19T11:00:34Z
[NiziU LOG] #9 教えてRIMA編,379474,11549,836,2021-12-17T11:00:22Z
NiziU×YouTubeショート #NiziUが選ぶ #NINA 👉 #MAKO,212446,10262,90,2021-12-17T02:01:13Z
NiziU×YouTubeショート #NiziUが選ぶ #MIIHI 👉 #RIMA,205187,9923,113,2021-12-17T02:00:22Z
NiziU×YouTubeショート #NiziUが選ぶ #RIMA 👉 #NINA,116973,7212,92,2021-12-17T02:00:06Z
NiziU×YouTubeショート #NiziUが選ぶ #AYAKA 👉 #AYAKA #RIMA,401037,12954,148,2021-12-16T02:02:24Z
NiziU×YouTubeショート #NiziUが選ぶ #MAYUKA 👉 #MIIHI #NINA,241449,10657,110,2021-12-16T02:02:36Z
NiziU×YouTubeショート #NiziUが選ぶ #RIKU 👉 #MAYA,306158,12409,181,2021-12-16T02:02:11Z
NiziU×YouTubeショート #NiziUが選ぶ #MAKO 👉 #MAYUKA,252840,14293,196,2021-12-15T02:00:05Z
NiziU×YouTubeショート #NiziUが選ぶ #RIO 👉 #RIKU,346473,14254,165,2021-12-15T02:00:05Z
NiziU×YouTubeショート #NiziUが選ぶ #MAYA 👉 #RIO,271284,12107,143,2021-12-15T02:00:03Z
