title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
NiziU 「Chopstick」 relay dance (NIZOO ver.),726212,38570,288,2055,2021-11-13T10:37:46Z
#YouTubeMusic 「RELEASED」プレイリストに #NiziU 「Chopstick」が登場！#Shorts #RELEASED,131018,7409,31,122,2021-11-13T03:00:15Z
[NiziU LOG] #4 教えてMAYA編,233756,9967,63,648,2021-11-12T11:00:32Z
NiziU “Chopstick” MV Teaser,3157437,122351,1787,5227,2021-11-09T15:00:12Z
NiziU “Chopstick” MV Teaser 「MAYUKA」,1203275,42427,353,2057,2021-11-08T15:00:10Z
NiziU “Chopstick” MV Teaser 「RIO＆MAYA」,635538,21623,152,825,2021-11-07T15:00:05Z
NiziU “Chopstick” MV Teaser 「MAKO＆RIKU」,671355,23536,207,907,2021-11-06T15:00:00Z
NiziU “Chopstick” MV Teaser 「AYAKA＆RIMA」,817415,28760,201,1221,2021-11-05T15:00:24Z
[NiziU LOG] #3 教えてRIO編,309034,11894,108,803,2021-11-05T11:00:22Z
NiziU “Chopstick” MV Teaser 「MIIHI＆NINA」,950432,34508,269,1412,2021-11-04T15:05:50Z
NiziU 1st Album『U』Information Video,691906,23573,199,872,2021-11-04T02:00:03Z
[NiziU LOG] #2 教えてMAKO編,492763,17592,152,1457,2021-10-29T11:00:04Z
[NiziU LOG]  教えてNiziU Teaser,267409,11182,91,539,2021-10-28T11:00:01Z
「NiziU Today ～Halloween Special～」,423958,15581,156,852,2021-10-21T11:00:11Z
"Welcome to ""NIZOO""",591934,34362,212,2268,2021-10-20T02:00:13Z
"NiziU SEASON'S GREETINGS 2022 ""Live Together"" Behind Movie",572058,17229,234,1292,2021-10-15T11:00:33Z
「NiziU Today ～Halloween Special～」Teaser,371902,12818,97,972,2021-10-13T11:00:12Z
NiziUxYogibo Making Movie,368588,13692,115,1010,2021-10-04T11:00:01Z
"NiziU SEASON'S GREETINGS 2022 ""Live Together"" MESSAGE",542568,16312,204,859,2021-09-30T02:18:03Z
「Take a picture」 Dance Performance Video (Red ver.),2745523,66290,977,3909,2021-09-20T11:00:31Z
NiziU 2nd Single『Take a picture』 Performance Video (Pajama ver.),2288035,52160,710,4333,2021-08-20T11:00:02Z
[NiziU Scout] Behind The Scenes #4,587383,15555,172,1630,2021-07-30T11:00:24Z
[NiziU Scout] Behind The Scenes #3,647302,15012,163,1177,2021-07-23T11:00:04Z
NiziU 2nd Single『Poppin’ Shakin’』 Performance Video(Animal ver.),2778618,67356,805,4882,2021-07-20T11:00:04Z
[NiziU Scout] Behind The Scenes #2,798333,18476,190,1354,2021-07-16T11:00:19Z
[NiziU Scout] #10,1548244,29765,475,2822,2021-07-09T11:00:00Z
「Super Summer」 Image Movie,3029631,77514,996,5047,2021-07-04T15:00:02Z
[NiziU Scout] #9,1712864,31692,375,2931,2021-07-02T11:00:02Z
[NiziU Scout] #8,1317280,27594,252,2137,2021-06-25T11:00:16Z
NiziU “OFFICIAL LIGHT STICK” Unboxing Video,1008070,35190,360,2214,2021-06-21T03:00:17Z
NiziU 『Poppin’ Shakin’ 』MV Making Movie,969080,27392,202,1741,2021-06-20T11:00:19Z
[NiziU Scout] #7,1282519,24586,271,2280,2021-06-18T11:00:15Z
NiziU 2nd Single『Take a picture』 relay dance,3115249,75568,904,5450,2021-06-16T00:15:01Z
[NiziU Scout] #6,1413706,28467,310,2363,2021-06-11T11:00:18Z
[NiziU Scout] #5,1815191,31844,349,2721,2021-06-04T11:00:26Z
NiziU 『Step and a step』 Dance Performance Video,6336285,114987,2052,11209,2021-05-29T13:15:15Z
[NiziU Scout] #4,1554129,32006,297,2585,2021-05-28T11:00:35Z
[NiziU Scout] Behind The Scenes #1,900406,22640,155,1905,2021-05-21T11:00:28Z
NiziU『Take a picture 』MV Making Movie,1043094,30971,248,2114,2021-05-20T11:01:18Z
[NiziU Scout] #3,1876162,35906,453,3146,2021-05-14T11:00:01Z
[NiziU Scout] #2,2663509,52147,646,3942,2021-05-07T11:00:15Z
[NiziU Scout] #1,3092335,69264,954,6513,2021-04-30T11:00:22Z
NiziU 2nd Single『Poppin’ Shakin’』 Dance Performance Video,11758946,144744,2726,12780,2021-04-28T00:00:42Z
「NiziU Scout」 Teaser,1235476,39362,284,1963,2021-04-20T12:30:09Z
NiziU 「Take a picture 」 featuring guide Video,1408272,34462,415,1877,2021-04-15T02:00:00Z
NiziU 「Poppin’ Shakin’ 」 featuring guide Video,2073112,42114,964,2499,2021-04-10T02:00:50Z
NiziU 2nd Single『Take a picture』 Dance Performance Video,28429923,239442,5731,19209,2021-04-06T12:00:10Z
NiziU “Poppin’ Shakin’” MV Teaser,1395550,54515,348,2458,2021-04-05T15:00:34Z
NiziUxSoftBank Making Movie,893427,23202,307,1730,2021-04-03T11:00:32Z
NiziU 2nd Single『Take a picture／Poppin’ Shakin’』 Information Video,790340,21054,223,845,2021-03-30T02:00:00Z
NiziU “Take a picture” MV Solo Teaser 「NINA」,772223,30737,474,1544,2021-03-27T15:01:00Z
NiziU “Take a picture” MV Solo Teaser 「MIIHI」,1221156,44570,500,1896,2021-03-26T15:00:19Z
NiziU “Take a picture” MV Solo Teaser 「RIMA」,893858,32925,401,1752,2021-03-25T15:00:19Z
NiziU “Take a picture” MV Solo Teaser 「MAYUKA」,863771,32504,373,1798,2021-03-24T15:00:03Z
